"English" "French" "Word.type" "Example" "Translation"
"lost, stray, wasted" "perdu  " "noun/adjective " "ça ne sera pas du temps perdu " "it won't be wasted time "
"necessary, required" "obligé  " "noun/adjective " "vous n'êtes pas obligés de me donner une réponse " "you're not obligated to respond to me "
"visitor" "visiteur  " "masculine noun " "nous avons des visiteurs. de très grands visiteurs! " "we have visitors. very important visitors! "
"to take away, win" "remporter  " "verb " "l'autorité revenait à celui qui remportait la victoire " "the authority was conferred on the one who won the victory "
"round" "rond  " "noun/adjective " "il a le visage rond, le nez cassé " "he has a round face, a crooked nose "
"floor" "étage  " "masculine noun " "elle est tombée du troisième étage en secouant un tapis " "she fell from the third floor while shaking out a rug "
"intense, severe, dense" "intense  " "adjective (no distinct feminine) " "elle me faisait vivre des moments intenses " "she made me experience intense moments "
"baby" "bébé  " "noun/adjective (no distinct feminine) " "elle va avoir un bébé " "she's going to have a baby "
"friendship" "amitié  " "feminine noun " "l'amitié a remplacé la peur " "friendship replaced fear "
"fifty" "cinquante  " "determiner,masculine noun invariable " "encore cinquante mètres et il tourna--à gauche " "fifty more meters and he turned--to the left "
"zero" "zéro  " "masculine noun " "froid intense, très en dessous de zéro " "intense cold, far below zero "
"drama" "drame  " "masculine noun " "son œuvre est dominée par un drame personnel " "his work is dominated by a personal drama "
"visible, obvious" "visible  " "adjective (no distinct feminine) " "il a toujours des partenaires, visibles ou invisibles " "there are always visible or invisible partners "
"hatred, hate" "haine  " "feminine noun " "l'amour se change en haine " "love changes to hatred "
"authority, proceedings, hearing" "instance  " "feminine noun " "j'ai perdu un première instance " "I lost a first hearing "
"ceremony" "cérémonie  " "feminine noun " "je participai pendant une heure à une cérémonie sacrée " "I attended a sacred ceremony for an hour "
"ambition" "ambition  " "feminine noun " "je n'avais aucune ambition d'écrire des livres " "I didn't have any ambition to write books "
"to turn to, run again" "recourir  " "verb " "voyons, qui recourrait aux tirs d'artillerie? " "let's see--who resorted to artillery fire? "
"sanction" "sanction  " "feminine noun " "le Congrès américain vote des sanctions contre l'Afrique du Sud " "the American Congress is voting on sanctions against South Africa "
"giant, gigantic" "géant  " "noun/adjective " "un écran géant avait été installé face à la tribune " "a giant screen was installed before the gallery "
"garden" "jardin  " "masculine noun " "la promenade au jardin le calma un peu " "a stroll through the garden calmed him a little "
"food" "nourriture  " "feminine noun " "leur nourriture, c'est l'herbe " "their food is grass "
"to father, breed, generate" "engendrer  " "verb " "la violence engendre la violence " "violence breeds violence "
"infrastructure" "infrastructure  " "feminine noun " "les infrastructures sont dans une situation bien pire " "the infrastructure is in a much worse condition "
"opponent, adversary" "adversaire  " "masculine noun,feminine noun " "on élimine son adversaire en le touchant " "adversaries can be eliminated by touching them "
"African" "africain  " "noun/adjective " "il se sent avant tout africain " "he feels most of all African "
"royal" "royal  " "adjective " "préfères-tu une escorte royale? " "would you prefer a royal escort? "
"mobile, portable" "mobile  " "noun/adjective (no distinct feminine) " "les organisateurs louent des toilettes mobiles " "the organizers rented portable toilets "
"significate" "significatif  " "adjective " "le mystère me paraît plus significatif que le secret " "mysteries seem more significant to me than secrets "
"circulation, traffic" "circulation  " "feminine noun " "la circulation des trains locaux a été suspendue " "local train service has been suspended "
"subscription" "cotisation  " "feminine noun " "les cotisations doivent augmenter " "subscriptions must increase "
"understanding, agreement" "entente  " "feminine noun " "je sais quelle entente il y a entre Robert et toi " "I know about the agreement you and Robert have "
"hair" "cheveu  " "masculine noun " "elle avait de longs cheveux bouclés, toujours bien peignés " "she had long curly hair, always well brushed "
"to slow down" "ralentir  " "verb " "je vais pas ralentir. je vais même accélérer " "I'm not going to slow down. I'm even going to accelerate "
"present, gift" "cadeau  " "masculine noun " "je lui ai apporté un cadeau " "I brought her a present "
"assertion, affirmation" "affirmation  " "feminine noun " "j'ai été étonnée de cette affirmation " "I was stunned by this statement "
"to require" "requérir  " "verb " "cela requiert sans doute un certain effort " "this will undoubtedly require some effort "
"destination" "destination  " "feminine noun " "quelle est votre destination rêvée? " "what is your dream destination? "
"stability" "stabilité  " "feminine noun " "je veille à la stabilité du continent " "I watch over the stability of the continent "
"to rent, praise" "louer  " "verb " "elle pourrait louer une cabane au bord de la mer " "she could rent a cabin by the seashore "
"guy" "gars  " "masculine noun (no distinct plural) " "t'es un gars sympa " "you're a cool guy "
"flower" "fleur  " "feminine noun " "on t'a apporté tes fleurs préférées " "we've brought you your favourite flowers "
"farmer" "agriculteur  " "masculine noun " "j'ai moi-même été agriculteur " "I was a farmer myself "
"poet" "poète  " "masculine noun " "j'ai découvert que j'étais poète " "I found out I was a poet "
"manufacture, production" "fabrication  " "feminine noun " "après ces deux échecs, la fabrication fut abandonnée " "after these failures, production was abandoned "
"wine" "vin  " "masculine noun " "du vin, s'il vous plaît " "wine, please "
"sudden, suddenly" "soudain  " "adjective,adverb " "j'étais soudain libre " "suddenly I was free "
"ball, bullet" "balle  " "feminine noun " "les balles sifflaient au-dessus d'eux " "bullets were whining above them "
"inflation" "inflation  " "feminine noun " "l'inflation est en train de devenir un problème " "inflation is becoming a problem "
"dry" "sec  " "adjective,adverb,masculine noun " "j'ai les yeux secs " "my eyes are dry "
"decree, order" "arrêté  " "noun/adjective " "cet arrêté prend effet à compter du 1 mai prochain " "this decree will go into effect on May 1 "
"to shut" "enfermer  " "verb " "il alla s'enfermer dans sa cabine sans dire un mot " "without a word he went to shut himself inside his cubicle "
"to pull down, kill, beat" "abattre  " "verb " "le jeune homme a été abattu par la police " "the young man was killed by the police "
"farmer, peasant" "paysan  " "noun/adjective " "je donnerais tout pour être un simple paysan " "I would give anything to be a simple peasant boy "
"transition" "transition  " "feminine noun " "la transition a démobilisé les forces sociales " "the transition demobilized the social forces "
"humanitarian" "humanitaire  " "adjective (no distinct feminine) " "l'aide humanitaire est, certes, nécessaire " "humanitarian aide is, of course, necessary "
"to spread, spill" "répandre  " "verb " "la lumière du couloir se répandait dans la chambre " "light from the hall spilled into the room "
"adoption, passing" "adoption  " "feminine noun " "je propose l'adoption de cette motion " "I propose to accept this motion "
"to adore, worship" "adorer  " "verb " "elle adorait sa grand-mère maternelle " "she adored her maternal grandmother "
"apartment, flat" "appartement  " "masculine noun " "j'aimerais bien acheter un appartement " "I would really like to buy an apartment "
"session" "session  " "feminine noun " "il y a seulement eu une session de débriefing " "there was only one debriefing session "
"to start" "entamer  " "verb " "nous entamons notre descente " "we are beginning our descent "
"housekeeping, housework" "ménage  " "masculine noun " "j'ai un peu de ménage à faire pour l'instant " "I have some housework I need to do now "
"purely" "purement  " "adverb " "ma démarche est purement professionnelle " "my interest is purely professional "
"stake" "enjeu  " "masculine noun " "c'est un enjeu de taille pour les femmes " "a great deal is at stake for women "
"passenger, temporary" "passager  " "noun/adjective " "les 287 passagers ont probablement tous péri " "all the 287 passengers likely perished "
"transformation, change" "transformation  " "feminine noun " "la recherche scientifique est constamment en transformation " "scientific research is constantly changing "
"to calculate" "calculer  " "verb " "j'ai conçu un autre ordinateur pour calculer cela " "I designed another computer to calculate that "
"poverty, misery" "misère  " "feminine noun " "il y a trop de misère et trop de crimes " "there's too much poverty and too much crime "
"lightly, slightly" "légèrement  " "adverb " "elle baissa légèrement la vitre " "she slightly lowered the window "
"to crush, grind" "écraser  " "verb " "nous écraserons toute armée qu'on enverra contre nous " "we will crush any army sent against us "
"to expand, enrich, make somebody rich" "enrichir  " "verb " "ces différences enrichissent notre pays " "these differences enrich our country "
"restaurant" "restaurant  " "masculine noun " "j'avais pensé l'emmener au restaurant " "I thought about taking her out to the restaurant "
"fate, destiny" "destin  " "masculine noun " "le destin joue parfois de sales tours " "destiny sometimes plays dirty tricks "
"discrimination" "discrimination  " "feminine noun " "ils ont toujours été victime de discrimination " "they have always been victims of discrimination "
"certainty" "certitude  " "feminine noun " "il est impossible de prévoir avec certitude où nous en arriverons " "it's impossible to foretell with certainty where we'll end up "
"oil" "huile  " "feminine noun " "faire chauffer l'huile dans une poêle " "heat up the oil in a pan "
"sacred" "sacré  " "noun/adjective " "je dois vous charger d'une mission sacrée " "I have to confer a sacred mission upon you "
"autonomy" "autonomie  " "feminine noun " "nous voulons conserver notre autonomie " "we want to keep our autonomy "
"bag, sack" "sac  " "masculine noun " "tu as besoin de 4 sacs à dos de livres? " "you need 4 backpacks of books? "
"stock, to supply" "stock  " "masculine noun " "il conserve et protège nos stocks de poisson " "he keeps and protects our stock of fish "
"to call upon" "invoquer  " "verb " "le gouvernement tentera d'invoquer deux excuses " "the government will try to make two excuses "
"to compromise" "compromettre  " "verb " "le premier ministre a compromis le processus de paix " "the prime minister compromised the peace process "
"to pull up, tear up" "arracher  " "verb " "ils lui ont arraché sa caméra " "they yanked his camera away from him "
"dark" "sombre  " "adjective (no distinct feminine) " "la nuit était fort sombre " "the night was very dark "
"bar, rod" "barre  " "feminine noun " "prends la barre! comme ça, tu tomberas pas " "hold onto the bar! that way you won't fall "
"contradiction" "contradiction  " "feminine noun " "il y a une contradiction entre les deux " "there's a contradiction between the two "
"to control, overcome, master" "maîtriser  " "verb " "il fallait aussi démontrer qu'on maîtrisait deux langues étrangères " "we also had to demonstrate mastery of two foreign languages "
"to rape, infringe" "violer  " "verb " "j'ai pas envie de me faire violer " "I don't want to get raped "
"sovereignty" "souveraineté  " "feminine noun " "nous avons abandonné la souveraineté sur notre propre monnaie " "we abandoned the sovereignty of our own money "
"to save, spare" "épargner  " "verb " "j'espérais épargner cette infortune à mon fils " "I was hoping to spare my son this misfortune "
"concentration" "concentration  " "feminine noun " "il perd sa concentration, donc son sens " "he loses his concentration and therefore his reason "
"telephone" "téléphonique  " "adjective (no distinct feminine) " "le service téléphonique est un lien de sécurité " "telephone service is a connection for safety "
"presentation, delivery" "remise  " "feminine noun " "c'est la remise en ordre du clan au pouvoir " "it's the overhauling of the clan in power "
"guy" "mec  " "masculine noun " "vous faites quoi les mecs, ce soir? " "what are you guys doing tonight? "
"solidarity" "solidarité  " "feminine noun " "y a-t-il une solidarité assez forte entre les groupes? " "is there a fairly strong solidarity between groups? "
"to restrict, cut down, decrease" "restreindre  " "verb " "il a restreint les travaux du comité à trois jours " "he restricted the committee's work to three days "
"decade" "décennie  " "feminine noun " "cet objectif sera atteint en quelques décennies " "this goal will be achieved in a few decades "
"straight away, immediately" "aussitôt  " "adverb " "on décida aussitôt de dîner ensemble " "we immediately decided to have supper together "
"officially" "officiellement  " "adverb " "je suis officiellement une étudiante en première année " "I am officially a first-year student "
"to hunt, chase away" "chasser  " "verb " "l'ennemi devait être chassé de chez nous " "the enemy had to be chased from our home "
"dinner; to dine" "dîner  " "masculine noun,verb " "le dîner sera bientôt prêt " "supper will be ready soon "
"personally" "personnellement  " "adverb " "j'en ai fait personnellement l'expérience " "I have had that experience myself "
"to frequent, go around with" "fréquenter  " "verb " "je fréquente un homme riche " "I'm dating a rich man "
"to plan, project, throw out" "projeter  " "verb " "on va projeter un autre film " "we're going to show another film "
"literary" "littéraire  " "noun/adjective (no distinct feminine) " "la poésie est beaucoup plus qu'un genre littéraire " "poetry is much more than a literary genre "
"to preside" "présider  " "verb " "il présidait ses repas " "he presided over her meals "
"fortune" "fortune  " "feminine noun " "elle ne dépendait ni de la fortune ni du succès " "she depended neither on fortune nor on success "
"unhappy, miserable" "malheureux  " "noun/adjective (no distinct plural) " "tu es l'homme le plus malheureux que je connaisse " "you're the most miserable man I know "
"numerical" "numérique  " "adjective (no distinct feminine) " "il faut faire appel à des simulations numériques " "we need to refer to digital simulations "
"fighter" "combattant  " "adjective,masculine noun " "vous êtes les combattants les mieux entrainés " "you are the best-trained combatants "
"to suspect" "soupçonner  " "verb " "comme elle le soupçonnait, il souffrait de douleurs " "since she suspected him, he suffered pain "
"sh*t, crap" "merde  " "interjection,feminine noun " "je vois ton genou dans une merde de chien " "I see your knee's in a pile of dog sh*t "
"contractor, entrepreneur" "entrepreneur  " "masculine noun " "l'entrepreneur et le marchand détruisent la forêt " "the entrepreneur and the merchant are destroying the forest "
"exhibition, show" "exposition  " "feminine noun " "ça sera ta meilleure exposition " "this will be your best showing yet "
"merchant" "marchand  " "noun/adjective " "la marine marchande a été la clé de la victoire " "the merchant marine was the key to victory "
"shout, cry" "cri  " "masculine noun " "sa déclaration a été saluée par des cris de joie " "his declaration was greeted with shouts of joy "
"feminine" "féminin  " "noun/adjective " "j'adore créer les personnages féminins " "I love creating female characters "
"desert, wilderness" "désert  " "adjective,masculine noun " "ils font fleurir le désert et fonctionner la démocratie " "they're making the desert blossom and democracy flourish "
"garment, item or article of clothing" "vêtement  " "masculine noun " "ça, c'est un vêtement de marque " "this is a brand-name piece of clothing "
"in the past" "autrefois  " "adverb " "nous nous sommes aimés autrefois " "we loved each other once "
"to overcome, top, surmount" "surmonter  " "verb " "nous pouvons surmonter ces obstacles " "we can overcome these obstacles "
"merchandise, commodity" "marchandise  " "feminine noun " "la marchandise s'est vendue de façon incroyable " "the merchandise was sold out in an incredible manner "
"native, indigenous peoples" "autochtone  " "noun/adjective (no distinct feminine) " "nous pouvons répondre aux préoccupations des autochtones " "we can respond to the worries of the indigenous peoples "
"continent" "continent  " "adjective,masculine noun " "le continent africain souffre de tous les maux " "the African continent suffers all the evils "
"definitely, permanently, for good" "définitivement  " "adverb " "je m'étais définitivement métamorphosée en enfant sage " "I was permanently morphed into a well-behaved child "
"fortunately, luckily" "heureusement  " "adverb " "heureusement, nous venons juste d'arriver " "luckily we have just arrived "
"dignified, worthy" "digne  " "adjective (no distinct feminine) " "ce n'est pas digne d'une dame " "that's not something worthy of a woman "
"guide" "guide  " "masculine noun,feminine noun " "tout seul, sans guide? " "alone, without a guide? "
"tobacco" "tabac  " "masculine noun " "les odeurs de tabac vous gênent? " "do tobacco smells bother you? "
"yield, output" "rendement  " "masculine noun " "elles ne donnent pas le même rendement de lait " "they don't produce the same yield of milk "
"extent, scope, range" "ampleur  " "feminine noun " "une réflexion de grande ampleur s'impose " "wide-ranging thought is needed "
"fully, thoroughly" "pleinement  " "adverb " "je suis pleinement d'accord avec elle " "I fully agree with her "
"disaster" "désastre  " "masculine noun " "le grand désastre était proche " "a big disaster was looming "
"pretty, attractive" "joli  " "adjective " "les jolies petites secrétaires ne mentent jamais " "pretty little secretaries never tell a lie "
"to promote" "promouvoir  " "verb " "il est toujours plus facile de promouvoir la haine que de la combattre " "it's always easier to promote hate than to combat it "
"echo" "écho  " "masculine noun " "j'entendis l'écho d'un souvenir détesté " "I heard the echo of a repugnant memory "
"fusion, melting, merging" "fusion  " "feminine noun " "ceci renforcera notre fusion organique " "this will reinforce our structural incorporation "
"innovation" "innovation  " "feminine noun " "les entreprises maintiennent leurs efforts d'innovation " "companies maintain their innovation efforts "
"selection" "sélection  " "feminine noun " "notons que la sélection, dans ce contexte, signifie un tri " "note that selection, in this context, implies sorting "
"to mix up, confuse" "confondre  " "verb " "je confonds peut-être, avec d'autres bourses " "I might be mixed up, with other stock markets "
"honest, decent, fair" "honnête  " "adjective (no distinct feminine) " "c'est un homme juste et honnête " "he's a just and honest man "
"revolving, swivel, encircling, bend, turning point" "tournant  " "adjective,masculine noun " "c'est en ce moment, le tournant de ta vie " "this moment is the turning point of your life "
"automobile" "automobile  " "noun/adjective (no distinct feminine) " "l'industrie automobile européenne est parfaitement compétitive " "the European automobile industry is perfectly competitive "
"community, group" "collectivité  " "feminine noun " "les membres de la collectivité ont uni leurs efforts " "the co-op's members united their efforts "
"record" "record  " "masculine noun " "il avait atteint un nouveau record historique " "he has set a new historic record "
"excessive, inordinate" "excessif  " "noun/adjective " "votre réaction est un peu excessive " "your reaction is somewhat excessive "
"ridiculous, silly" "ridicule  " "noun/adjective (no distinct feminine) " "c'est ridicule. n'y pense même plus " "that's ridiculous. don't even think about it any more "
"mode, method, modality" "modalité  " "feminine noun " "il semble donc exister deux modalités de la vision " "there seem to be two ways that seeing works "
"packet" "paquet  " "masculine noun " "c'était un paquet de cigarettes anglaises " "it was a pack of English cigarettes "
"foundation" "fondation  " "feminine noun " "les fondations seront conçues après étude du sol " "the foundations will be formed after a soil study "
"terrorist" "terroriste  " "masculine noun,feminine noun " "le président condamne cet attentat terroriste " "the president condemned that terrorist attack "
"withdrawal" "retrait  " "noun/adjective " "ces pays ont demandé un retrait volontaire des jouets " "these countries demanded a voluntary recall of the toys "
"organ" "organe  " "masculine noun " "un peu jeune pour du trafic d'organes, non? " "a little young to be trafficking in organs, hey? "
"etiquette, protocol" "protocole  " "masculine noun " "ce protocole a permis de découvrir de nouveaux antigènes " "this protocol enabled discovery of new antigens "
"appearance, apparition" "apparition  " "feminine noun " "l'araignée a fait une nouvelle apparition " "the spider made a new appearance "
"gain" "gain  " "masculine noun " "c'est un gain net pour lui " "it's a clear gain for him "
"screen" "écran  " "masculine noun " "ils voulaient installer un écran géant sur la place du village " "they wanted to install a huge screen in the village square "
"to ring" "sonner  " "verb " "une cloche sonna dans le lointain " "bells rang in the distance "
"to protest" "protester  " "verb " "leurs gosses, ils n'osent plus protester " "their kids, they don't dare protest any more "
"curious" "curieux  " "noun/adjective (no distinct plural) " "j'étais trop curieuse " "I was too curious "
"to erase, clean" "effacer  " "verb " "l'homme décide, la femme s'efface " "the man decides, the woman demurs "
"to start" "débuter  " "verb " "la descente a débuté une demi-heure plus tard " "the descent started a half-hour later "
"to dig" "creuser  " "verb " "ils entreprennent de creuser un tunnel " "they undertook the digging of a tunnel "
"allusion" "allusion  " "feminine noun " "le texte auquel vous faites allusion date de 1989 " "the text you are alluding to is dated 1989 "
"launch" "lancement  " "masculine noun " "le lancement a été retardé par une météo défavorable " "the launch was postponed because of bad weather "
"carrier, holder" "porteur  " "masculine noun " "je suis porteur d'une bonne nouvelle " "I'm the bearer of good news "
"prior, previous, preliminary, prerequisite" "préalable  " "noun/adjective (no distinct feminine) " "un inconnu avait au préalable averti le journal " "an anonymous source had previously warned the newspaper "
"to program, schedule" "programmer  " "verb " "ils mêleront sons acoustiques et programmés " "they will mix acoustic and digital sounds "
"to drag, pull" "traîner  " "verb " "elle me traîna à travers le plancher " "she dragged me across the floor "
"home, place of residence" "domicile  " "masculine noun " "j'ai eu une urgence à domicile " "I had an emergency at home "
"bird" "oiseau  " "masculine noun " "j'ai vu un oiseau faire son nid " "I saw a bird making its nest "
"forty" "quarante  " "determiner,masculine noun invariable " "j'ai quarante ans, elle en a vingt-cinq! " "I'm forty years old, she's twenty-five! "
"sacrifice" "sacrifice  " "masculine noun " "la ville a prévu un sacrifice humain " "the city was planning a human sacrifice "
"fence, barrier, gate" "barrière  " "feminine noun " "il est difficile de franchir la barrière linguistique et de dialoguer " "it's difficult to break the language barrier and to dialogue "
"way, device; bias" "biais  " "masculine noun (no distinct plural) " "nous devons attaquer ce problème par le biais de la législation " "we must attack this problem by way of legislation "
"leaf, sheet, slip" "feuille  " "feminine noun " "l'arbre porte quelques feuilles " "the tree has some leaves "
"delegation" "délégation  " "feminine noun " "notre délégation a été accueillie à l'aéroport " "our delegation was welcomed at the airport "
"to exhaust, tire out, wear out, use up" "épuiser  " "verb " "ils ont épuisé leurs ressources et veulent puiser dans les nôtres " "they exhausted their resources and wanted to dip into ours "
"champion" "champion  " "noun/adjective " "il deviendra un champion en un rien de temps " "he will become a champion in no time "
"freely" "librement  " "adverb " "seuls les piétons peuvent passer librement " "only pedestrians can pass through freely "
"holiday, time off, day off, notice" "congé  " "masculine noun " "il vous faudra prendre un congé d'un mois, au moins " "you will have to take one month's vacation, at least "
"tax" "taxe  " "feminine noun " "vous payez pas de taxes. vous payez pas d'impôts " "you don't pay taxes. you don't pay duties. "
"eleven" "onze  " "determiner,masculine noun invariable " "il était onze heures du soir " "it was eleven o'clock at night "
"to telephone, phone, call" "téléphoner  " "verb " "j'ai essayé de vous téléphoner chez vous " "I tried to telephone you at your place "
"to tighten, squeeze" "serrer  " "verb " "elle serre les mains " "she clenches her fists "
"to characterize" "caractériser  " "verb " "une époque ne se caractérise pas seulement par ses idées " "an era is not only characterized by its ideas "
"preparation" "préparation  " "feminine noun " "un document à ce sujet est en préparation " "a document on this subject is in preparation "
"opposite, reverse" "inverse  " "noun/adjective (no distinct feminine) " "c'est l'inverse de ce que tu m'as raconté " "it's the exact opposite of what you told me "
"to entitle, call" "intituler  " "verb " "la séquence s'intitulera «Cinq minutes pour survivre» " "the sequence was entitled Five minutes of survival"
"possession, ownership" "possession  " "feminine noun " "il était en possession de matériel d'intérêt " "he had targeted materials in his possession "
"rejection" "rejet  " "masculine noun " "le Soudan réaffirme son rejet absolu des menaces " "the Sudan reiterates its absolute rejection of threats "
"teacher" "enseignant  " "noun/adjective " "le métier d'enseignant n'est pas un métier comme les autres " "the teacher's job is like none other "
"to prove to be, turn out" "avérer  " "verb " "cette explication s'avéra la bonne, par la suite " "this explanation turned out the be the right one "
"dad, daddy" "papa  " "masculine noun " "je t'aime aussi papa " "I love you too daddy "
"associate, fellow worker, contributor, collaborator" "collaborateur  " "masculine noun " "je remercie donc tous les collaborateurs " "so I thank all of the collaborators "
"to bother, trouble" "gêner  " "verb " "tu vois, tu gênes tout le monde " "you see, you bother everybody "
"technician" "technicien  " "masculine noun " "il faut des experts, des techniciens " "we need experts, technicians "
"cycle" "cycle  " "masculine noun " "le cycle de la violence peut être enrayé " "the cycle of violence can be broken "
"to accumulate, amass, store, stockpile" "accumuler  " "verb " "les bombes atomiques s'accumulent " "atomic bombs are being stockpiled "
"savage, wild" "sauvage  " "noun/adjective (no distinct feminine) " "c'étaient des oiseaux sauvages " "they were wild birds "
"alcohol" "alcool  " "masculine noun " "limitez votre consommation d'alcool et de sucre " "limit your intake of alcohol and sugar "
"pretext" "prétexte  " "noun/adjective (no distinct feminine),masculine noun " "je pris prétexte de mon travail pour suspendre ces séances " "I used my job as an excuse to stop these meetings "
"impressive, upsetting" "impressionnant  " "adjective " "la science évolue à une vitesse impressionnante " "science is evolving at an impressive speed "
"scenario, script" "scénario  " "masculine noun " "j'ai reçu le scénario, je l'ai lu et j'ai adoré " "I received the screenplay, I read it, and I loved it "
"electricity" "électricité  " "feminine noun " "tu t'y connais en électricité? non " "do you know anything about electricity? no "
"free, gratuitous, unwarranted" "gratuit  " "adjective " "hé, un spectacle gratuit! " "hey, a free show! "
"revolutionary" "révolutionnaire  " "noun/adjective (no distinct feminine) " "je veux mourir en révolutionnaire " "I want to die as a revolutionary "
"leg" "jambe  " "feminine noun " "elle s'assit, croisa les jambes, alluma une cigarette " "she sat, crossed her legs, lit a cigarette "
"insufficient, inadequate" "insuffisant  " "adjective " "ce que nous avons accompli reste insuffisant " "what we accomplished is still inadequate "
"privilege" "privilège  " "masculine noun " "nous avons des droits et des privilèges " "we have rights and privileges "
"weekend" "week-end  " "masculine noun " "que fais-tu, ce week-end? " "what are you doing this weekend? "
"equivalent" "équivalent  " "noun/adjective " "cela n'a pas d'équivalent avec les autres pays " "this has no equivalent in the other countries "
"to group together, regroup" "regrouper  " "verb " "le ministre des Finances a regroupé tout ça dans un seul programme " "the finance minister regrouped all of that in a single program "
"guest" "invité  " "masculine noun " "les invités les plus attendus ne sont pas venus " "the most-anticipated guests didn't show up "
"militant" "militant  " "noun/adjective " "nous ne sommes militants d'aucune organisation politique " "we are not the militants of any political organization "
"participant" "participant  " "noun/adjective " "il y avait une cinquantaine de participants " "there were some fifty participants "
"injury, wound" "blessure  " "feminine noun " "ces problèmes sociaux sont des blessures qui ne sont pas encore guéries " "these social problems are wounds that remain unhealed "
"to favour" "privilégier  " "verb " "il refuse de privilégier les insurgés cubains! " "he refuses to legitimize the Cuban insurgents "
"noon" "midi  " "masculine noun " "mon père rentre pour le repas de midi " "my father's going home for lunch "
"disc" "disque  " "masculine noun " "nous écoutions des disques en buvant du whisky " "we listened to records while drinking whisky "
"layer, coat" "couche  " "feminine noun " "la couche d'ozone n'était pas menacée " "the ozone layer wasn't threatened "
"to date" "dater  " "verb " "le dernier film concerné date de 1990 " "the last relevant film was made in 1990 "
"to accustom, get used to" "habituer  " "verb " "on s'habitue à tout, quand on est obligé " "you can get used to anything when you have to "
"unavoidable, inevitable" "inévitable  " "adjective (no distinct feminine) " "le terrorisme n'est jamais inévitable " "terrorism is never inevitable "
"to resume, start again" "recommencer  " "verb " "recommence depuis le début, s'il te plaît " "start again from the beginning, please "
"breed, race" "race  " "feminine noun " "elle n'est pas de ta race " "she's not of your race "
"sharply, brusquely, lively" "vivement  " "adverb " "le groupe socialiste soutient vivement tous les amendements " "the socialist group strongly supports all the amendments "
"beauty" "beauté  " "feminine noun " "je veux leur montrer la beauté de ma langue " "I want to show them the beauty of my language "
"atmosphere" "atmosphère  " "feminine noun " "j'aime bien l'atmosphère des pubs " "I really like the atmosphere in pubs "
"shoulder" "épaule  " "feminine noun " "je déteste regarder par-dessus mon épaule " "I hate looking back over my shoulder "
"in love, amorous" "amoureux  " "noun/adjective (no distinct plural) " "moi, j'ai toujours été amoureux de toi " "I have always been in love with you "
"district, constituency" "circonscription  " "feminine noun " "je viens d'une circonscription qui repose sur l'industrie de la forêt " "I come from an electoral district that relies on the forest industry "
"standing" "debout  " "adverb " "je ne peux pas rester debout, sans rien faire " "I can't remain standing, doing nothing "
"to influence" "influencer  " "verb " "je n'influence pas la politique " "I don't influence politics "
"backward movement, setback, slip" "recul  " "masculine noun " "sur un an, le recul du chômage atteint 5 % " "in one year, the slip in unemployment reaches 5% "
"mortal, deadly, lethal" "mortel  " "noun/adjective " "nous ne sommes que mortels. nous sommes tous humains " "we're only mortals. we're all humans "
"flow" "flux  " "masculine noun (no distinct plural) " "les flux mondiaux de migration se sont énormément développés " "worldwide migration flows have developed enormously "
"horizon, skyline" "horizon  " "masculine noun " "mes yeux parcoururent cet horizon désert " "my eyes surveyed this desert horizon "
"to set free, rid, relieve" "délivrer  " "verb " "il était temps de se délivrer de ce poids " "it was time to get rid of that burden "
"subsidy" "subvention  " "feminine noun " "nous accordons des subventions à l'industrie " "we provide subsidies to industry "
"formal, definite" "formel  " "adjective " "la morale, quand elle est formelle, dévore " "morality, when it is formal, devours "
"to worsen, aggravate" "aggraver  " "verb " "tous ces facteurs aggravent la situation " "all of these factors aggravate the situation "
"milk" "lait  " "masculine noun " "va prendre un verre de lait et fais tes devoirs " "go get a glass of milk and do your homework "
"to feed, supply" "alimenter  " "verb " "j'alimentais ma peur en mangeant " "I fed my fears by eating "
"intelligent, clever, bright" "intelligent  " "adjective " "c'est un gars très intelligent " "he's a very intelligent guy "
"to balance" "équilibrer  " "verb " "pour être équilibrées, elles doivent être négociées " "to be balanced, they have to be negotiated "
"library" "bibliothèque  " "feminine noun " "il y avait une grande bibliothèque " "there was a large library there "
"absurd" "absurde  " "noun/adjective (no distinct feminine) " "cela semble tout à fait absurde " "this seems completely absurd "
"ocean" "océan  " "masculine noun " "il repose au fond de l'océan " "it's sitting on the bottom of the ocean "
"some, a few" "quelques-uns  " "pronoun " "j'ai retrouvé quelques-uns de ces poèmes " "I recovered some of these poems "
"to dictate, lay down" "dicter  " "verb " "écris ce que je te dicte, mot pour mot " "write down what I dictate to you, word for word "
"tenant; incumbent, holder" "tenant  " "noun/adjective " "à ma gauche, le tenant du titre " "on my left, the record-holder "
"stable" "stable  " "adjective (no distinct feminine) " "l'univers est stable et l'homme y aura toujours sa place " "the universe is stable and mankind will always have its place "
"captain" "capitaine  " "masculine noun " "il est mort. le capitaine est mort " "he died. the captain is dead "
"to request, solicit, appeal" "solliciter  " "verb " "elle sollicite un visa pour aller à La Mecque " "she applied for a visa to go to Mecca "
"to call, summon" "convoquer  " "verb " "vous serez convoquée au commissariat " "you will be summoned to the police office "
"prevention, custody" "prévention  " "feminine noun " "nous faisons de la prévention auprès des jeunes enfants " "we're being preventive with our young children "
"land, earth" "terrestre  " "adjective (no distinct feminine) " "les frontières terrestres et les aéroports sont fermés " "the border crossings and airports are closed "
